Unique Identifier,Sku_id,Website,Brand,Name,Url,Category,Status,Competitor Instock Matches,Availability,Price (USD),Discount %,Difference Percent,Difference,Price Index,Match Type,groups
9575553_Purple,6000396_navy,Kohl's,24seven comfort apparel,Plus Size 24seven Comfort Apparel Pleated Midi Skirt,https://www.kohls.com/product/prd-6000396/plus-size-24seven-comfort-apparel-pleated-midi-skirt.jsp?color=Navy,Home > Fashion > Apparel > Bottomwear > Skirts,"","",Instock,42.39,20.0,13.49%,6.61,115.59,Similar 2,Womens > Clothing > Bottoms > Skirts & Skorts > 24Seven Comfort Apparel
9575553_Purple,6019023_navy,Kohl's,24seven comfort apparel,Women's 24Seven Comfort Apparel Solid Pleated Midi Skirt,https://www.kohls.com/product/prd-6019023/womens-24seven-comfort-apparel-solid-pleated-midi-skirt.jsp?color=Navy,Home > Fashion > Apparel > Bottomwear > Skirts,"","",Instock,47.99,20.0,2.06%,1.01,102.1,Similar 1,Womens > Clothing > Bottoms > Skirts & Skorts > 24Seven Comfort Apparel
15994550_Dahlia Multi,15994550_Dahlia Multi,Macy's,michael kors,Michael Kors Logo Jet Set Double Zip Wristlet,https://www.macys.com/shop/product/michael-michael-kors-logo-jet-set-double-zip-wristlet?ID=15994550&swatchColor=Dahlia%20Multi,Home > Fashion > Fashion Accessories > Bags > Handbags,Out Of Stock,2 Instock,Out of Stock,50.83,60.29,0.00%,0,221.0,"",Handbags & Accessories
15994550_Dahlia Multi,6358753_peony,Kohl's,mundi,Mundi Sierra RFID-Blocking Double Zip Wristlet,https://www.kohls.com/product/prd-6358753/mundi-sierra-rfid-blocking-double-zip-wristlet.jsp?color=Peony,Home > Fashion > Fashion Accessories > Bags > Clutches and Purses,"","",Instock,23.0,0.0,54.75%,27.83,221.0,Similar 2,Womens > Accessories > Wallets > Mundi
15994550_Dahlia Multi,5272976_purple,Kohl's,ili,ili Double-Zip Leather RFID-Blocking Wristlet,https://www.kohls.com/product/prd-5272976/ili-double-zip-leather-rfid-blocking-wristlet.jsp?color=Purple,Home > Fashion > Fashion Accessories > Bags,"","",Instock,74.0,0.0,-45.58%,-23.17,68.69,Similar 1,Womens > Accessories > Handbags & Purses > ili
15994550_Dahlia Multi,1647597288713904,Net A Porter Us Fashion,VALENTINO GARAVANI,Valentino Garavani Rockstud textured-leather clutch,https://www.net-a-porter.com/en-us/shop/product/valentino-garavani/bags/clutch-bags/rockstud-textured-leather-clutch/1647597288713904,Home > Fashion > Fashion Accessories > Bags > Clutches and Purses,"","",Out of Stock,890.0,0.0,-1650.93%,-839.17,5.71,Similar 1,VALENTINO GARAVANI > Bags
4075810_Cape Blue,4075810_Cape Blue,Macy's,tommy hilfiger,Tommy Hilfiger Women's TH Flex Cuffed Denim Shorts,https://www.macys.com/shop/product/tommy-hilfiger-womens-th-flex-cuffed-denim-shorts?ID=4075810&swatchColor=Cape%20Blue,Home > Fashion > Apparel > Bottomwear > Shorts,Overpriced,4 Instock,Instock,54.5,0.0,0.00%,0,341.69,"",Women > Shorts
4075810_Cape Blue,117731634,Asos,bershka,Bershka roll up denim short in mid blue,https://www.asos.com/us/bershka/bershka-roll-up-denim-short-in-mid-blue/prd/202654262,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Out of Stock,16.74,40.0,69.28%,37.76,325.57,Similar 2,Home
4075810_Cape Blue,117368268,Asos,stradivarius,Stradivarius slim mom denim short with rip in mid wash blue,https://www.asos.com/us/stradivarius/stradivarius-slim-mom-denim-short-with-rip-in-mid-wash-blue/prd/202515386,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Instock,15.95,45.0,70.73%,38.55,341.69,Similar 1,Home
4075810_Cape Blue,6196938_medium denim,Kohl's,eddie bauer,Women's Eddie Bauer Boyfriend Rolled Shorts,https://www.kohls.com/product/prd-6196938/womens-eddie-bauer-boyfriend-rolled-shorts.jsp?color=Medium%20Denim,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Instock,70.0,0.0,-28.44%,-15.5,77.86,Similar 1,Womens > Clothing > Bottoms > Shorts > Eddie Bauer
4075810_Cape Blue,1647597302378339,Net A Porter Us Fashion,a-gold-e,Dee distressed organic denim shorts,https://www.net-a-porter.com/en-us/shop/product/agolde/clothing/short-and-mini/plus-net-sustain-dee-organic-denim-shorts/1647597302378339,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Instock,75.0,50.0,-37.61%,-20.5,72.67,Similar 2,AGOLDE > Clothing
4075810_Cape Blue,1647597311403302,Net A Porter Us Fashion,frame denim,Le Grand Garcon frayed denim shorts,https://www.net-a-porter.com/en-us/shop/product/frame/clothing/short-and-mini/le-grand-garcon-frayed-denim-shorts/1647597311403302,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Instock,100.0,50.0,-83.49%,-45.5,54.5,Similar 1,FRAME > Clothing
"15662289_Tan, Brown","15662289_Tan, Brown",Macy's,levi's,Levi's Men's Munro Faux-Leather Retro Low Top Sneakers,"https://www.macys.com/shop/product/levis-mens-munro-faux-leather-retro-low-top-sneakers?ID=15662289&swatchColor=Tan,%20Brown",Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,Out Of Stock,5 Instock,Out of Stock,49.99,0.0,0.00%,0,111.11,"",Men > All Men's Shoes
"15662289_Tan, Brown",121204343,Asos,nike,Nike Court Vision Low Next sneakers in white and navy,https://www.asos.com/us/nike/nike-court-vision-low-next-sneakers-in-white-and-navy/prd/203509436,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Out of Stock,75.0,0.0,-50.03%,-25.01,66.65,Similar 2,Home
"15662289_Tan, Brown",126452239,Asos,all saints,AllSaints Klip low top sneakers in white,https://www.asos.com/us/allsaints/allsaints-klip-low-top-sneakers-in-white/prd/204298992,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,179.0,0.0,-258.07%,-129.01,27.93,Similar 1,Home
"15662289_Tan, Brown",2975772,Endclothing Us Fashion,veja,Veja Wata Low Top Sneaker,https://www.endclothing.com/us/veja-wata-low-top-sneaker-pl0101401b.html,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,88.0,34.81,-76.04%,-38.01,56.81,Similar 2,Mens > Brands > VEJA
"15662289_Tan, Brown",3414755,Endclothing Us Fashion,ami paris,AMI Low Top Sneaker,https://www.endclothing.com/us/ami-low-top-sneaker-usn007-853-100.html,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Out of Stock,164.0,45.15,-228.07%,-114.01,30.48,Similar 1,Mens > Brands > AMI Paris
"15662289_Tan, Brown",5866264_black,Kohl's,levi's,Levi's® Munro Men's Sneakers,https://www.kohls.com/product/prd-5866264/levis-munro-mens-sneakers.jsp?color=Black&prd,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,50.0,0.0,-0.02%,-0.01,99.98,Color,Mens > Shoes > Athletic Shoes & Sneakers > Levi's
"15662289_Tan, Brown",5295290_white,Kohl's,lugz,Lugz Stagger Men's Low Top Sneakers,https://www.kohls.com/product/prd-5295290/lugz-stagger-mens-low-top-sneakers.jsp?color=White,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,44.99,0.0,10.00%,5.0,111.11,Similar 2,Mens > Shoes > Athletic Shoes & Sneakers > Lugz
"15662289_Tan, Brown",5567956_white black white,Kohl's,nike,Nike Court Vision Next Nature Men's Low-Top Shoes,https://www.kohls.com/product/prd-5567956/nike-court-vision-next-nature-mens-low-top-shoes.jsp?color=White%20Black%20White,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,70.0,0.0,-40.03%,-20.01,71.41,Similar 1,Mens > Shoes > Athletic Shoes & Sneakers > Nike
"15662289_Tan, Brown",6290253_tan brown,Kohl's,levi's,Levi's® Munro SC Men's Sneakers,https://www.kohls.com/product/prd-6290253/levis-munro-sc-mens-sneakers.jsp?color=Tan%20Brown,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Out of Stock,50.0,0.0,-0.02%,-0.01,99.98,Exact,Mens > Shoes > Athletic Shoes & Sneakers > Levi's
13178453_Burgundy,13178453_Burgundy,Macy's,outerstuff,Outerstuff Big Boys Cardinal Arizona Cardinals Team Logo Long Sleeve T-shirt,https://www.macys.com/shop/product/big-boys-cardinal-arizona-cardinals-team-logo-long-sleeve-t-shirt?ID=13178453,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,Out Of Stock,3 Instock,Out of Stock,23.99,0.0,0.00%,0,109.05,"",Sports Fan Shop
13178453_Burgundy,5210968_white,Kohl's,licensed character,Boys 8-20 Star Wars The Mandalorian The Child Unknown Species Sketch Long Sleeve Graphic Tee,https://www.kohls.com/product/prd-5210968/boys-8-20-star-wars-the-mandalorian-the-child-unknown-species-sketch-long-sleeve-graphic-tee.jsp?color=White,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,29.99,0.0,-25.01%,-6.0,79.99,Similar 2,Boys > Clothing > Tops > Tops & Tees > Licensed Character
13178453_Burgundy,5175445_white,Kohl's,licensed character,Boys 8-20 Nintendo Splatoon Squid Paint Splat Kanji Team Logos Long-Sleeve Graphic Tee,https://www.kohls.com/product/prd-5175445/boys-8-20-nintendo-splatoon-squid-paint-splat-kanji-team-logos-long-sleeve-graphic-tee.jsp?color=White,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,29.99,0.0,-25.01%,-6.0,79.99,Similar 1,Boys > Clothing > Tops > Tops & Tees > Licensed Character
13178453_Burgundy,4047568_acr red,Kohl's,outerstuff,Arizona Cardinals Youth Team Logo Long Sleeve T-Shirt - Cardinal,https://www.kohls.com/product/prd-4047568/arizona-cardinals-youth-team-logo-long-sleeve-t-shirt-cardinal.jsp?color=Acr%20Red,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,22.0,0.0,8.30%,1.99,109.05,Exact,Boys > Clothing > Tops > Tops & Tees > Outerstuff
3022963_Rigid- Shrink to Fit,3022963_Rigid- Shrink to Fit,Macy's,levi's,Levi's Men's 501® Original Shrink-to-Fit™ Non-Stretch Jeans,https://www.macys.com/shop/product/levis-mens-501-original-shrink-to-fit-non-stretch-jeans?ID=3022963&swatchColor=Rigid-%20Shrink%20to%20Fit,Home > Fashion > Apparel > Bottomwear > Jeans,Underpriced,2 Instock,Instock,69.99,11.96,0.00%,0,88.04,"",Men > Jeans
3022963_Rigid- Shrink to Fit,3731772_modern black,Kohl's,levi's,Men's Levi's® 501™ Original Shrink-To-Fit Jeans,https://www.kohls.com/product/prd-3731772/mens-levis-501-original-shrink-to-fit-jeans.jsp?color=Modern%20Black,Home > Fashion > Apparel > Bottomwear > Jeans,"","",Instock,79.5,0.0,-13.59%,-9.51,88.04,Variant Color,Mens > Clothing > Bottoms > Jeans > Levi's
3022963_Rigid- Shrink to Fit,3731772_rigid indigo,Kohl's,levi's,Men's Levi's® 501™ Original Shrink-To-Fit Jeans,https://www.kohls.com/product/prd-3731772/mens-levis-501-original-shrink-to-fit-jeans.jsp?color=Rigid%20Indigo,Home > Fashion > Apparel > Bottomwear > Jeans,"","",Instock,79.5,0.0,-13.59%,-9.51,88.04,Exact,Mens > Clothing > Bottoms > Jeans > Levi's
2542926_True Chino,2542926_True Chino,Macy's,levi's,"Levi's Men's Carrier Loose-Fit Non-Stretch 9.5"" Cargo Shorts",https://www.macys.com/shop/product/levis-mens-carrier-loose-fit-non-stretch-9.5-cargo-shorts?ID=2542926&swatchColor=True%20Chino,Home > Fashion > Apparel > Bottomwear > Shorts,Overpriced,3 Instock,Instock,49.5,0.0,0.00%,0,107.61,"",Men > Shorts
2542926_True Chino,2318843_monument,Kohl's,levi's,Men's Levi's® Carrier Cargo Shorts,https://www.kohls.com/product/prd-2318843/mens-levis-carrier-cargo-shorts.jsp?color=Monument,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Instock,49.5,0.0,0.00%,0.0,100.0,Variant Color,Mens > Clothing > Bottoms > Shorts > Levi's
2542926_True Chino,3267944_desert sand,Kohl's,dickies,Men's Dickies Loose-Fit Cargo Shorts,https://www.kohls.com/product/prd-3267944/mens-dickies-loose-fit-cargo-shorts.jsp?color=Desert%20Sand,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Instock,46.0,0.0,7.07%,3.5,107.61,Similar 1,Mens > Clothing > Bottoms > Shorts > Dickies
2542926_True Chino,2318843_true chino,Kohl's,levi's,Men's Levi's® Carrier Cargo Shorts,https://www.kohls.com/product/prd-2318843/mens-levis-carrier-cargo-shorts.jsp?color=True%20Chino,Home > Fashion > Apparel > Bottomwear > Shorts,"","",Instock,49.5,0.0,0.00%,0.0,100.0,Exact,Mens > Clothing > Bottoms > Shorts > Levi's
13620041_Blue Interest,13620041_Blue Interest,Macy's,clark's,Clarks Women's Merliah Sheryl Embellished Slingback Sandals,https://www.macys.com/shop/product/clarks-womens-merliah-sheryl-embellished-slingback-sandals?ID=13620041&swatchColor=Blue%20Interest,Home > Fashion > Footwear > Sandals,Overpriced,2 Instock,Instock,56.4,40.0,0.00%,0,112.91,"",Shoes > Sandals
13620041_Blue Interest,125468457,Asos,glamorous,Glamorous cross strap platform sandals in black,https://www.asos.com/us/glamorous/glamorous-cross-strap-platform-sandals-in-black/prd/204135300,Home > Fashion > Footwear > Sandals,"","",Out of Stock,32.0,34.69,43.26%,24.4,176.25,Similar 1,Home
13620041_Blue Interest,5515012_white,Kohl's,clark's,Clarks® Merliah Sheryl Women's Wedge Sandals,https://www.kohls.com/product/prd-5515012/clarks-merliah-sheryl-womens-wedge-sandals.jsp?color=White,Home > Fashion > Footwear > Sandals,"","",Instock,85.0,0.0,-50.71%,-28.6,66.35,Variant Color,Womens > Shoes > Sandals > Clarks
13620041_Blue Interest,6173382_black,Kohl's,patrizia,Patrizia Royale-Sparkle Women's Wedge Sandals,https://www.kohls.com/product/prd-6173382/patrizia-royale-sparkle-womens-wedge-sandals.jsp?color=Black,Home > Fashion > Footwear > Sandals,"","",Instock,49.95,0.0,11.44%,6.45,112.91,Similar 2,Womens > Shoes > Sandals > Patrizia
13620041_Blue Interest,4896492_black,Kohl's,cole haan,Cole Haan OriginalGrand Women's Flatform Wedge Sandals,https://www.kohls.com/product/prd-4896492/cole-haan-originalgrand-womens-flatform-wedge-sandals.jsp?color=Black,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Out of Stock,120.0,0.0,-112.77%,-63.6,47.0,Similar 1,Womens > Shoes > Sandals > Cole Haan
14317192_Black,14317192_Black,Macy's,adidas,adidas Men's Essentials Feel Ready Logo Training T-Shirt,https://www.macys.com/shop/product/adidas-mens-essentials-feel-ready-logo-training-t-shirt?ID=14317192&swatchColor=Black,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,Inline,2 Instock,Instock,25.0,0.0,0.00%,0,100.0,"",Men > Activewear
14317192_Black,3037194,Endclothing Us Fashion,reigning champ,Reigning Champ Deltapeak Training T-Shirt,https://www.endclothing.com/us/reigning-champ-deltapeak-training-t-shirt-rc-1158-blk.html,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Out of Stock,49.0,37.97,-96.00%,-24.0,51.02,Similar 2,Mens > Brands > Reigning Champ
14317192_Black,2704333,Endclothing Us Fashion,sporty & rich,Sporty & Rich Training Camp T-Shirt,https://www.endclothing.com/us/sporty-rich-training-camp-t-shirt-sr22-trncamptee-bkw.html,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Out of Stock,39.0,48.0,-56.00%,-14.0,64.1,Similar 1,Mens > Brands > Sporty & Rich
14317192_Black,5774082_lucid blue,Kohl's,adidas,Men's adidas Train Essentials Feelready Training Tee,https://www.kohls.com/product/prd-5774082/mens-adidas-train-essentials-feelready-training-tee.jsp?color=Lucid%20Blue,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,25.0,0.0,0.00%,0.0,100.0,Variant Color,Mens > Clothing > Tops > Tops & Tees > adidas
14317192_Black,5774082_black,Kohl's,adidas,Men's adidas Train Essentials Feelready Training Tee,https://www.kohls.com/product/prd-5774082/mens-adidas-train-essentials-feelready-training-tee.jsp?color=Black,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,25.0,0.0,0.00%,0.0,100.0,Exact,Mens > Clothing > Tops > Tops & Tees > adidas
6210732_Black,6210732_Black,Macy's,haggar,Haggar Men's Premium Comfort Stretch Classic-Fit Solid Flat Front Dress Pants,https://www.macys.com/shop/product/haggar-mens-premium-comfort-stretch-classic-fit-solid-flat-front-dress-pants?ID=6210732&swatchColor=40x34%20(unavailable),Home > Fashion > Apparel > Bottomwear > Trousers and Pants,Overpriced,2 Instock,Instock,80.0,0.0,0.00%,0,133.33,"",Men > Pants
6210732_Black,3077966_mocha,Kohl's,haggar,Men’s Haggar® Premium Comfort Expandable-Waist Classic-Fit Stretch Flat-Front Dress Pants,https://www.kohls.com/product/prd-3077966/mens-haggar-premium-comfort-stretch-classic-fit-flat-front-dress-pants.jsp?color=Mocha,Home > Fashion > Apparel > Bottomwear > Trousers and Pants,"","",Instock,60.0,0.0,25.00%,20.0,133.33,Variant Color,Mens > Clothing > Bottoms > Pants > Haggar
6210732_Black,3077966_black,Kohl's,haggar,Men’s Haggar® Premium Comfort Expandable-Waist Classic-Fit Stretch Flat-Front Dress Pants,https://www.kohls.com/product/prd-3077966/mens-haggar-premium-comfort-stretch-classic-fit-flat-front-dress-pants.jsp?color=Black,Home > Fashion > Apparel > Bottomwear > Trousers and Pants,"","",Instock,60.0,0.0,25.00%,20.0,133.33,Exact,Mens > Clothing > Bottoms > Pants > Haggar
15967448_White,15967448_White,Macy's,calvin klein,Calvin Klein Calvin Klein Women's Cotton Logo-Sleeve Tee,https://www.macys.com/shop/product/calvin-klein-womens-cotton-logo-sleeve-tee?ID=15967448&swatchColor=White,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,Out Of Stock,3 Instock,Out of Stock,24.75,50.0,0.00%,0,176.91,"",Women > Activewear
15967448_White,132381000,Asos,weekday,Weekday slim fit long sleeve t-shirt in Gray,https://www.asos.com/us/weekday/weekday-slim-fit-long-sleeve-t-shirt-in-gray/prd/205184646,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Out of Stock,33.0,0.0,-33.33%,-8.25,75.0,"",Home
15967448_White,126349871,Asos,top shop,Topshop graphic open studio long sleeve skater tee in ecru,https://www.asos.com/us/topshop/topshop-graphic-open-studio-long-sleeve-skater-tee-in-ecru/prd/204276869,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Out of Stock,34.0,29.15,-37.37%,-9.25,72.79,"",Home
15967448_White,2620838,Endclothing Us Fashion,soulland,Soulland Dinah long sleeve T-shirt,https://www.endclothing.com/us/soulland-dinah-long-sleeve-t-shirt-1165-1040-ow.html,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tops,"","",Out of Stock,55.0,42.11,-122.22%,-30.25,45.0,"",Womens > Brands > Soulland
15967448_White,3439819,Endclothing Us Fashion,ganni,GANNI Cat Long Sleeve T-Shirt,https://www.endclothing.com/us/ganni-cat-long-sleeve-t-shirt-t3534-151.html,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tops,"","",Instock,179.0,0.0,-623.23%,-154.25,13.83,"",Womens > Brands > GANNI
15967448_White,4426993_white,Kohl's,lands end,Women's Lands' End Relaxed-Fit Supima Cotton Crewneck Tee,https://www.kohls.com/product/prd-4426993/womenslands-end-relaxed-fit-supima-cotton-crewneck-tee.jsp?color=White,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,34.95,0.0,-41.21%,-10.2,70.82,"",Womens > Clothing > Tops > Tops & Tees > Lands' End
15967448_White,3836990_white,Kohl's,croft & barrow,Women's Croft & Barrow® Essential Long-Sleeve Crewneck Tee,https://www.kohls.com/product/prd-3836990/womens-croft-barrow-classic-crewneck-tee.jsp?color=White,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,13.99,0.0,43.47%,10.76,176.91,"",Womens > Clothing > Tops > Tops & Tees > Croft & Barrow
14347711_Black,14347711_Black,Macy's,nike,Nike Women's Black Chicago White Sox Local Team T-shirt,https://www.macys.com/shop/product/womens-nike-black-chicago-white-sox-local-team-t-shirt?ID=14347711&swatchColor=Black,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,Underpriced,1 Instock,Instock,27.99,20.01,0.00%,0,79.99,"",Sports Fan Shop
14347711_Black,5040262_sox black,Kohl's,fanatics,Women's Fanatics Branded Black Chicago White Sox Team Logo Lockup V-Neck T-Shirt,https://www.kohls.com/product/prd-5040262/womens-fanatics-branded-black-chicago-white-sox-team-logo-lockup-v-neck-t-shirt.jsp?color=Sox%20Black,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Out of Stock,28.0,0.0,-0.04%,-0.01,99.96,Similar 1,Womens > Clothing > Tops > Tops & Tees > Fanatics
14347711_Black,5762014_sox black,Kohl's,nike,Women's Nike Black Chicago White Sox Local Team T-Shirt,https://www.kohls.com/product/prd-5762014/womens-nike-black-chicago-white-sox-local-team-t-shirt.jsp?color=Sox%20Black,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"","",Instock,34.99,0.0,-25.01%,-7.0,79.99,Exact,Womens > Clothing > Tops > Tops & Tees > Nike
16441041_Black,16441041_Black,Macy's,paul smith,PAUL SMITH Men's Brandon Black Sneakers,https://www.macys.com/shop/product/paul-smith-mens-brandon-black-sneakers?ID=16441041&swatchColor=Black,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,Overpriced,6 Instock,Instock,250.0,0.0,0.00%,0,555.93,"",Men > All Men's Shoes
16441041_Black,117684735,Asos,vans,Vans Authentic sneakers in triple black,https://www.asos.com/us/vans/vans-authentic-sneakers-in-triple-black/prd/202608881,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,55.0,0.0,78.00%,195.0,454.55,Similar 2,Home
16441041_Black,119204081,Asos,nike,Nike Air Max Flyknit Racer sneakers in black and white,https://www.asos.com/us/nike/nike-air-max-flyknit-racer-sneakers-in-black-and-white/prd/202962267,Home > Fashion > Footwear > Sports & Athletic,"","",Instock,80.0,50.0,68.00%,170.0,312.5,Similar 1,Home
16441041_Black,3264474,Endclothing Us Fashion,represent,Represent Viper Sneaker,https://www.endclothing.com/us/represent-viper-sneaker-m12050-94.html,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,135.0,44.9,46.00%,115.0,185.19,Similar 2,Mens > Brands > Represent
16441041_Black,3517084,Endclothing Us Fashion,visvim,Visvim Walpi Sneakers,https://www.endclothing.com/us/visvim-walpi-sneakers-123201001005-bk.html,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,1025.0,0.0,-310.00%,-775.0,24.39,Similar 1,Mens > Brands > Visvim
16441041_Black,4568212_slate gray white,Kohl's,new balance,New Balance® 515 v3 Men's Sneakers,https://www.kohls.com/product/prd-4568212/new-balance-515-v3-mens-sneakers.jsp?color=Slate%20Gray%20White,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,44.97,40.03,82.01%,205.03,555.93,Similar 2,Mens > Shoes > Athletic Shoes & Sneakers > New Balance
16441041_Black,6098142_navy artic yellow,Kohl's,new balance,New Balance 410 v8 Men's Sneakers,https://www.kohls.com/product/prd-6098142/new-balance-410-v8-mens-sneakers.jsp?color=Navy%20Artic%20Yellow,Home > Fashion > Footwear > Fashion Sneakers & Plimsolls,"","",Instock,64.99,0.0,74.00%,185.01,384.67,Similar 1,Mens > Shoes > Athletic Shoes & Sneakers > New Balance
